Participant,Parent Node,Child Node 1,Child Node 2,Quotes,Summary of Child Node 1,Summary of Child Node 2
KII_P7,Heat Exposure, Air-conditioned,," “It's quite natural that heat effects are more in urban areas. The pressure from traffic, then the emitted gases, smoke, engine heat.”",,
FGD2_P6,Heat Exposure, Building roof ypes,,Some tin-shed houses in densely populated areas don't get airflow.,,
FGD2_P2, Heat Exposure, Buildings Roof types,,My roof is made of tin.,,
FGD2_P3, Heat Sensitivity, Children,,Children suffer the most during the heat. They catch colds easily.,,
KII_P8,Heat Sensitivity, Children,,"At the same time, children are also affected. When children go to school in extreme heat, they often fall sick. We regularly see that in schools and colleges, whether they are high-standard schools or lower-tier schools, suffocation is a common issue. Schools are being structured in such a way that they are becoming AC-dependent. Those that cannot afford AC are relying solely on fans. But with frequent electricity outages, fans stop working. In places where AC is used but electricity is not available, the AC does not function, leading to suffocation for everyone.",,
FGD2_P7,adaptive capacity," Donating Water, Saline, and Juice",,"If I feel thirsty and the shops are closed, I can always go to someone’s house and ask for water, they will give it to me.",,
"FGD3_P9, P1",Heat sensitivity," Elderly, Children",, Children and the elderly. It affects children the most. Children and older people suffer the most,,
FGD4_P6,Psychological Responses, Fatalistic Belief,, “That heat is given by Allah. It’s just there or not.”,,
FGD-6_p1,Heat Exposure, Household Cooking,," “Due to frequent load shedding in the heat, women mostly stay home and cook, which leads to sweating, causing more problems.”",,
FGD2_P7, Other Recommendations, Individual responsibilities,,"P7: If someone in front of me suddenly falls sick, it’s my responsibility to help them.",,
"FGD3_P4, P9", Barriers to Coping Heat, less green spaces. Less blue spaces,," In another 10 years, we probably won’t have this kind of environment anymore. Everything here will turn into buildings. The open spaces, the water bodies, they’ll all be gone.",,
"FGD3_P1,P8,P9", Heat Exposure, Neighbourhood Characteristics,, There’s no rental housing in this area. None at all.  And factories are far away. There are no mills or factories in this area.,,
FGD3_P9, Health Impact, Physical Health,"Diarrhea, Cholera",Diarrhea is rare here.,,
FGD2_P2,Health Impact, Physical Health,"Exhaustion, Tired, Low energy",Weakness—physical weakness,,
FGD2_P7,Health Impact, Physical Health,"Fever, cold","For example, suddenly catching a cold from the heat, then getting a fever afterward.",,
FGD2_P7,Health Impact, Physical Health,Headaches,"Often, I get headaches.",,
FGD2_P7,Health Impact, physical Health,Other( Stomach issues),"Yes, 1 or 2 people sometimes have stomach issues.",,
"FGD3_P9,P6",Health Impact, Physical Health,"COLD, Fever,COVID"," Fever, colds, and small heat rashes like prickly heat. Sometimes the itching gets so bad they need medical attention. people scratching. Allergies have become more common. The whole body sometimes breaks out in rashes like prickly heat, then comes fever, then cold symptoms, and they end up needing medical care. This happens frequently in many homes.",,
FGD2_P2,Health Impact," Physical Health, Adaptive Capacity","Fever, Medicine","I catch a cold and get a fever. Then I take medicine, recover, and resume my business. That’s how it goes.",,
